FileName,PhotoNumber,FullTaxonomyName,TaxIRN,DatePhotographed ,Photographer,PartyIRN,Country,StateProvince,CityTown,PreciseLocality,SiteIRN,Grouping
Brosimum alicastrum,1,Brosimum alicastrum Sw.,11446,29-Mar-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Guanacaste,Liberia,Parque Nacional Rincón de la Vieja,588535,10
Caryodaphnopsis burgeri,1,Caryodaphnopsis burgeri N. Zamora & Poveda,14602,28-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,San José,Puriscal,Parque Nacional la Cangreja,588554,11
Chrysophyllum venezuelanense,1,Chrysophyllum venezuelanense (Pierre) T.D. Penn.,17685,31-Jul-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,13
Couratari guianensis,1,Couratari guianensis Aubl.,20932,25-May-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Riyito,588549,14
Cymbopetalum costaricense,1,Cymbopetalum costaricense (Donn. Sm.) Saff.,23086,14-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Punta Uva,588537,15
Cymbopetalum costaricense,2,Cymbopetalum costaricense (Donn. Sm.) Saff.,23086,14-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Punta Uva,588537,15
Dipteryx panamensis,1,Dipteryx panamensis (Pittier) Record & Mell,25730,8-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,16
Drypetes standleyi,1,Drypetes standleyi G.L. Webster,26390,3-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,17
Enterolobium schomburgkii,1,Enterolobium schomburgkii (Benth.) Benth.,27471,30-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,19
Enterolobium schomburgkii,2,Enterolobium schomburgkii (Benth.) Benth.,27471,30-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,19
Guarea gentryi,1,Guarea gentryi Coronado,288689,24-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,23
Eschweilera costaricensis,1,Eschweilera costaricensis S.A. Mori,28873,3-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,20
Sapranthus palanga,1,Sapranthus palanga R.E. Fr.,290655,19-Dec-17,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,El Roble,UTN,588539,58
Eugenia hypargyrea,1,Eugenia hypargyrea Standl.,29460,29-Mar-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Guanacaste,Liberia,Parque Nacional Rincón de la Vieja,588535,21
Eugenia hypargyrea,2,Eugenia hypargyrea Standl.,29460,29-Mar-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Guanacaste,Liberia,Parque Nacional Rincón de la Vieja,588535,21
Aiouea costaricensis,1,Aiouea costaricensis (Mez) Kosterm.,3174,30-Jul-18,Leonardo Álvarez Alcázar,206557,Costa Rica,San José,León Cortés,San Andrés,588553,1
Aiouea costaricensis,2,Aiouea costaricensis (Mez) Kosterm.,3174,30-Jul-18,Leonardo Álvarez Alcázar,206557,Costa Rica,San José,León Cortés,San Andrés,588553,1
Aiouea costaricensis,3,Aiouea costaricensis (Mez) Kosterm.,3174,30-Jul-18,Leonardo Álvarez Alcázar,206557,Costa Rica,San José,León Cortés,San Andrés,588553,1
Aiouea obscura,1,Aiouea obscura van der Werff,3191,8-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,2
Alibertia edulis,1,Alibertia edulis (Rich.) A. Rich.,3403,29-Mar-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Guanacaste,Liberia,Parque Nacional Rincón de la Vieja,588535,3
Alibertia edulis,2,Alibertia edulis (Rich.) A. Rich.,3403,29-Mar-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Guanacaste,Liberia,Parque Nacional Rincón de la Vieja,588535,3
Guarea hoffmanniana,1,Guarea hoffmanniana C. DC.,34553,30-Jul-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,24
Hernandia didymantha,1,Hernandia didymantha Donn. Sm.,36462,29-May-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Tortuguero,Tortuguero,588538,25
Zygia gigantifoliola,1,Zygia gigantifoliola (Schery) L. Rico,380553,18-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,70
Zygia gigantifoliola,2,Zygia gigantifoliola (Schery) L. Rico,380553,18-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,70
Zygia gigantifoliola,3,Zygia gigantifoliola (Schery) L. Rico,380553,18-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,70
Zygia gigantifoliola,4,Zygia gigantifoliola (Schery) L. Rico,380553,18-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,70
Inga cocleensis,1,Inga cocleensis Pittier,38984,6-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,27
Lecointea amazonica,1,Lecointea amazonica Ducke,41949,17-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,28
Lecythis ampla,1,Lecythis ampla Miers,41963,29-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,29
Lecythis mesophylla,2,Lecythis mesophylla S.A. Mori,41993,11-May-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,31
Lecythis mesophylla,1,Lecythis mesophylla S.A. Mori,41993,28-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,San José,Puriscal,Parque Nacional la Cangreja,588554,30
Licania operculipetala,1,Licania operculipetala Standl. & L.O. Williams,42767,8-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,32
Licania operculipetala,2,Licania operculipetala Standl. & L.O. Williams,42767,8-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,32
Macrolobium costaricense,1,Macrolobium costaricense W.C. Burger,45209,30-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,33
Macrolobium herrerae,1,Macrolobium herrerae Zarucchi,45220,6-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,35
Meliosma allenii,1,Meliosma allenii Standl. & L.O. Williams,47372,7-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Gallardo,588541,37
Myroxylon balsamum,1,Myroxylon balsamum (L.) Harms,51275,11-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,San José,Acosta,Chirraca,588550,39
Ocotea austinii,1,Ocotea austinii C.K. Allen,52540,2-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,San José,Copey de Dota,Parque Nacional los Quetzales,588552,41
Ocotea fulvescens,1,Ocotea fulvescens Standl. & L.O. Williams,52630,2-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,San José,Copey de Dota,Parque Nacional los Quetzales,588552,42
Anthodiscus chocoensis,1,Anthodiscus chocoensis Prance,529167,29-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,4
Ocotea macropoda,1,Ocotea macropoda (Kunth) Mez,551262,8-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,43
Ocotea macropoda,2,Ocotea macropoda (Kunth) Mez,551262,8-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,43
Ocotea macropoda,3,Ocotea macropoda (Kunth) Mez,551262,8-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,43
Chaunochiton kappleri,1,Chaunochiton kappleri (Sagot ex Engl.) Ducke,551512,17-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,12
Chaunochiton kappleri,2,Chaunochiton kappleri (Sagot ex Engl.) Ducke,551512,17-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,12
Chaunochiton kappleri,3,Chaunochiton kappleri (Sagot ex Engl.) Ducke,551512,17-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,12
Parinari parvifolia,1,Parinari parvifolia Sandwith,55695,4-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,46
Parinari parvifolia,2,Parinari parvifolia Sandwith,55695,14-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Punta Uva,588537,47
Passiflora membranacea,1,Passiflora membranacea Benth.,56067,2-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,San José,Dota,Parque Nacional los Quetzales,588552,48
Passiflora membranacea,2,Passiflora membranacea Benth.,56067,2-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,San José,Dota,Parque Nacional los Quetzales,588552,48
Ocotea atlantica,1,Ocotea atlantica van der Werff,577498,19-Aug-17,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Boca Tapada,588529,40
Ocotea pentagona,1,Ocotea pentagona Mez,577506,8-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,44
Preslianthus pittierii,1,Preslianthus pittieri (Standl.) Iltis & Cornejo,579229,9-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,53
Macrolobium hartshornii,1,Macrolobium hartshornii R.S. Cowan,579384,6-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,34
Palicourea beachiana,1,Palicourea beachiana C.M. Taylor,580417,9-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,45
Palicourea beachiana,2,Palicourea beachiana C.M. Taylor,580417,9-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,45
Picramnia antidesma,1,Picramnia antidesma Sw.,59342,29-Mar-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Guanacaste,Liberia,Parque Nacional Rincón de la Vieja,588535,49
Plinia puriscalensis,1,Plinia puriscalensis P.E. Sánchez & Q. Jiménez,61972,28-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,San José,Puriscal,Parque Nacional la Cangreja,588554,50
Pouteria laevigata,1,Pouteria laevigata (Mart.) Radlk.,63182,29-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Los Mogos,588547,52
Pouteria laevigata,2,Pouteria laevigata (Mart.) Radlk.,63182,29-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Los Mogos,588547,52
Protium pittieri,1,Protium pittieri (Rose) Engl.,63558,4-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,54
Protium pittieri,2,Protium pittieri (Rose) Engl.,63558,4-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,54
Protium pittieri,3,Protium pittieri (Rose) Engl.,63558,4-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,54
Pseudopiptadenia suaveolens,1,Pseudopiptadenia suaveolens (Miq.) J.W. Grimes,63865,29-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Los Mogos,588547,55
Psychotria chagrensis,1,Psychotria chagrensis Standl.,64222,13-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Gandoca,588536,56
Quararibea asterolepis,1,Quararibea asterolepis Pittier,65135,14-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Punta Uva,588537,57
Posoqueria robusta,1,Posoqueria robusta Hammel & C.M. Taylor,670083,5-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,51
Sarcaulus brasiliensis,1,Sarcaulus brasiliensis (A. DC.) Eyma,68926,10-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,59
Aspidosperma myristicifolium,1,Aspidosperma myristicifolium (Markgr.) Woodson ,6977,7-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Gallardo,588541,5
Aspidosperma myristicifolium,2,Aspidosperma myristicifolium (Markgr.) Woodson ,6977,28-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Riyito,588549,6
Simira maxonii,1,Simira maxonii (Standl.) Steyerm.,71955,29-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón ,Tortuguero,Tortuguero,588538,60
Ateleia herbert-smithii,1,Ateleia herbert-smithii Pittier,7562,4-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Guanacaste,La Cruz,Parque Nacional Santa Rosa,588534,7
Ateleia herbert-smithii,2,Ateleia herbert-smithii Pittier,7562,4-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Guanacaste,La Cruz,Parque Nacional Santa Rosa,588534,7
Ateleia herbert-smithii,3,Ateleia herbert-smithii Pittier,7562,4-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Guanacaste,La Cruz,Parque Nacional Santa Rosa,588534,7
Styphnolobium parviflorum,1,Styphnolobium parviflorum M. Sousa & Rudd,75875,14-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Punta Uva,588537,61
Styphnolobium parviflorum,2,Styphnolobium parviflorum M. Sousa & Rudd,75875,14-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Punta Uva,588537,61
Tachigali versicolor,1,Tachigali versicolor Standl. & L.O. Williams,76692,7-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Gallardo,588541,62
Tachigali versicolor,2,Tachigali versicolor Standl. & L.O. Williams,76692,7-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Gallardo,588541,62
Terminalia bucidioides,1,Terminalia bucidoides Standl. & L.O. Williams,77148,9-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,63
Vantanea barbourii,1,Vantanea barbourii Standl.,80677,17-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,64
Vantanea barbourii,2,Vantanea barbourii Standl.,80677,17-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,64
Vatairea erythrocarpa,1,Vatairea erythrocarpa (Ducke) Ducke,80699,12-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,65
Virola multiflora,1,Virola multiflora (Standl.) A.C. Sm.,81841,23-Jul-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,66
Virola surinamensis,1,Virola surinamensis (Rol. ex Rottb.) Warb.,81853,10-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Gallardo,588541,67
Virola surinamensis,2,Virola surinamensis (Rol. ex Rottb.) Warb.,81853,17-Nov-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,68
Xylopia bocatonera,1,Xylopia bocatorena Schery,82839,6-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,69
Eugenia sancarlosensis,1,Eugenia sancarlosensis Barrie,904,19-Aug-19,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Boca Tapada,588529,22
Batocarpus costaricensis,1,Batocarpus costaricensis Standl. & L.O. Williams,9040,7-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Gallardo,588541,8
Bourreria costaricensis,1,Bourreria costaricensis (Standl.) A.H. Gentry,9040,6-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,9
Bourreria costaricensis,2,Bourreria costaricensis (Standl.) A.H. Gentry,9040,6-Aug-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Alajuela,San Carlos,Yucatán de Pital,588531,9
Dussia foxii,1,Dussia foxii Rudd,683054,8-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Alto San Juan,588540,18
Dussia foxii,2,Dussia foxii Rudd,683054,8-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Alto San Juan,588540,18
Huberodendron allenii,1,Huberodendron allenii Standl. & L.O. Williams,683055,8-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,26
Huberodendron allenii,2,Huberodendron allenii Standl. & L.O. Williams,683055,9-Jun-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Puntarenas,Península de Osa,Santa Cecilia,588548,26
Magnolia inbioana,1,Magnolia inbioana A. Vázquez,683056,13-Apr-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Cartago,Turrialba,Monumento Nacional Guayabo,588533,36
Mosannona costaricensis,1,Mosannona costaricensis (R.E. Fr.) Chatrou,683057,13-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Gandoca,588536,38
Mosannona costaricensis,2,Mosannona costaricensis (R.E. Fr.) Chatrou,683057,13-Oct-18,Leonardo Álvarez Alcázar,206557,Costa Rica,Limón,Baja Talamanca,Gandoca,588536,38
